1,0.75,0.38,-0.44,nan,0.0,0.0
2,0.5,0.3,-0.57,nan,0.0,0.0
3,0.66,0.37,-0.55,nan,0.0,0.0
4,0.85,0.35,-0.66,10.8144,-7.284248333,112.793058333
5,0.49,0.38,-0.67,10.8144,-7.284248333,112.793058333
6,0.6,0.46,-0.7,10.8144,-7.284248333,112.793058333
7,0.26,0.5,-0.88,10.8144,-7.284248333,112.793058333
8,0.24,0.5,-0.76,10.8144,-7.284248333,112.793058333
9,1.0,0.59,-0.8,10.8144,-7.284248333,112.793058333
10,0.58,0.15,-0.51,10.8144,-7.284248333,112.793058333
11,0.29,0.47,-0.47,10.8144,-7.284248333,112.793058333
12,0.79,0.42,-0.61,10.8144,-7.284248333,112.793058333
13,0.51,0.54,-0.7,10.8144,-7.284248333,112.793058333
14,0.75,0.4,-0.83,9.8172,-7.284246667,112.793083333
15,0.55,0.37,-0.58,9.8172,-7.284246667,112.793083333
16,0.76,0.37,-0.59,9.8172,-7.284246667,112.793083333
17,0.55,0.51,-0.77,9.8172,-7.284246667,112.793083333
18,0.62,0.37,-0.71,9.8172,-7.284246667,112.793083333
19,0.48,0.36,-0.6,9.8172,-7.284246667,112.793083333
20,0.68,0.38,-0.66,9.8172,-7.284246667,112.793083333
21,0.87,0.34,-0.49,9.8172,-7.284246667,112.793083333
22,0.39,0.47,-0.63,9.8172,-7.284246667,112.793083333
23,0.65,0.4,-0.58,9.8172,-7.284246667,112.793083333
24,0.6,0.48,-0.76,8.4456,-7.284245,112.793103333
25,0.49,0.36,-0.6,8.4456,-7.284245,112.793103333
26,0.97,0.49,-0.79,8.4456,-7.284245,112.793103333
27,0.92,0.39,-0.63,8.4456,-7.284245,112.793103333
28,0.54,0.35,-0.69,8.4456,-7.284245,112.793103333
29,0.75,0.37,-0.53,8.4456,-7.284245,112.793103333
30,0.65,0.38,-0.76,8.4456,-7.284245,112.793103333
31,0.53,0.46,-0.68,8.4456,-7.284245,112.793103333
32,0.35,0.29,-0.6,8.4456,-7.284245,112.793103333
33,0.23,0.39,-0.71,8.4456,-7.284245,112.793103333
34,0.3,0.47,-0.71,8.4456,-7.284245,112.793103333
35,0.47,0.49,-0.78,8.4456,-7.284245,112.793103333
36,0.41,0.57,-0.64,10.7028,-7.284248333,112.793135
37,0.65,0.28,-0.44,10.7028,-7.284248333,112.793135
38,0.56,0.44,-0.69,10.7028,-7.284248333,112.793135
39,0.54,0.51,-0.76,10.7028,-7.284248333,112.793135
40,0.84,0.45,-0.71,10.7028,-7.284248333,112.793135
41,0.42,0.37,-0.5,10.7028,-7.284248333,112.793135
42,0.56,0.33,-0.35,10.7028,-7.284248333,112.793135
43,0.24,0.46,-0.54,10.7028,-7.284248333,112.793135
44,0.47,0.5,-0.79,12.3696,-7.284236667,112.793158333
45,1.04,0.42,-0.89,12.3696,-7.284236667,112.793158333
46,0.45,0.23,-0.64,12.3696,-7.284236667,112.793158333
47,0.61,0.29,-0.57,12.3696,-7.284236667,112.793158333
48,0.74,0.36,-0.45,12.3696,-7.284236667,112.793158333
49,0.63,0.43,-0.8,12.3696,-7.284236667,112.793158333
50,0.99,0.41,-0.57,12.3696,-7.284236667,112.793158333
51,0.6,0.25,-0.55,12.3696,-7.284236667,112.793158333
52,0.53,0.47,-0.56,12.3696,-7.284236667,112.793158333
53,0.77,0.41,-0.87,11.592,-7.284228333,112.79318
54,0.97,0.46,-0.8,11.592,-7.284228333,112.79318
55,0.41,0.34,-0.32,11.592,-7.284228333,112.79318
56,0.5,0.48,-0.78,11.592,-7.284228333,112.79318
57,0.6,0.3,-0.63,11.592,-7.284228333,112.79318
58,0.53,0.51,-1.01,11.592,-7.284228333,112.79318
59,0.75,0.37,-0.59,11.592,-7.284228333,112.79318
60,0.94,0.61,-0.95,11.592,-7.284228333,112.79318
61,0.87,0.38,-0.65,11.592,-7.284228333,112.79318
62,0.44,0.21,-0.57,11.592,-7.284228333,112.79318
63,0.22,0.48,-0.62,11.592,-7.284228333,112.79318
64,0.34,0.46,-0.89,9.5184,-7.284216667,112.793193333
65,0.38,0.56,-0.76,9.5184,-7.284216667,112.793193333
66,0.4,0.5,-0.87,9.5184,-7.284216667,112.793193333
67,0.7,0.42,-0.72,9.5184,-7.284216667,112.793193333
68,0.72,0.41,-0.74,9.5184,-7.284216667,112.793193333
69,0.96,0.38,-0.7,9.5184,-7.284216667,112.793193333
70,0.72,0.38,-0.59,9.5184,-7.284216667,112.793193333
71,0.51,0.42,-0.59,9.5184,-7.284216667,112.793193333
72,0.46,0.36,-0.61,9.5184,-7.284216667,112.793193333
73,0.37,0.31,-0.66,10.206,-7.284195,112.7932
74,0.86,0.45,-0.63,10.206,-7.284195,112.7932
75,0.49,0.46,-0.6,10.206,-7.284195,112.7932
76,0.33,0.31,-0.56,10.206,-7.284195,112.7932
77,0.24,0.32,-0.69,10.206,-7.284195,112.7932
