0.06,0.01,33.1704,1,0.331704,-7.250601667,112.656803333,(u'2018-02-23T21:51:54.000Z', ' + ', u'2018-02-23T21:51:54.000Z')
0.1,-0.0,34.4088,1,0.344088,-7.250578333,112.65672,(u'2018-02-23T21:51:55.000Z', ' + ', 1519422715.0)
0.09,-0.02,33.7788,1,0.337788,-7.250555,112.656638333,(u'2018-02-23T21:51:56.000Z', ' + ', u'2018-02-23T21:51:56.000Z')
0.08,-0.01,34.632,1,0.34632,-7.25053,112.656555,(u'2018-02-23T21:51:57.000Z', ' + ', u'2018-02-23T21:51:57.000Z')
0.06,-0.01,36.0756,1,0.360756,-7.250505,112.65647,(u'2018-02-23T21:51:58.000Z', ' + ', u'2018-02-23T21:51:58.000Z')
0.09,-0.01,36.1332,1,0.361332,-7.25048,112.656383333,(u'2018-02-23T21:51:59.000Z', ' + ', u'2018-02-23T21:51:59.000Z')
0.09,-0.0,36.8856,1,0.368856,-7.250451667,112.656295,(u'2018-02-23T21:52:00.000Z', ' + ', 1519422720.0)
0.08,-0.01,36.3744,1,0.363744,-7.250421667,112.656206667,(u'2018-02-23T21:52:01.000Z', ' + ', u'2018-02-23T21:52:01.000Z')
0.09,-0.01,37.0944,1,0.370944,-7.250393333,112.656116667,(u'2018-02-23T21:52:02.000Z', ' + ', u'2018-02-23T21:52:02.000Z')
0.07,0.02,36.4644,1,0.364644,-7.250365,112.656028333,(u'2018-02-23T21:52:03.000Z', ' + ', u'2018-02-23T21:52:03.000Z')
0.08,0.0,35.0208,1,0.350208,-7.250338333,112.655945,(u'2018-02-23T21:52:04.000Z', ' + ', u'2018-02-23T21:52:04.000Z')
0.11,-0.0,35.2296,1,0.352296,-7.250313333,112.65586,(u'2018-02-23T21:52:05.000Z', ' + ', 1519422725.0)
0.08,0.0,37.4652,1,0.374652,-7.250276667,112.655761667,(u'2018-02-23T21:52:06.000Z', ' + ', u'2018-02-23T21:52:06.000Z')
0.08,-0.0,38.6892,1,0.386892,-7.25025,112.655666667,(u'2018-02-23T21:52:07.000Z', ' + ', u'2018-02-23T21:52:07.000Z')
0.08,-0.01,40.3164,-1008.0,-406.389312,-7.250218333,112.65556,(u'2018-02-23T21:52:08.000Z', ' + ', u'2018-02-23T21:52:08.000Z')
0.08,0.01,nan,0,0.0,0.0,0.0,('', ' + ', nan)
0.06,-0.01,62.4636,-1562.0,-975.681432,-7.249568333,112.653555,(u'2018-02-23T21:52:25.000Z', ' + ', u'2018-02-23T21:52:25.000Z')
0.06,0.01,56.7648,177.0,100.473696,-7.249535,112.653418333,(u'2018-02-23T21:52:26.000Z', ' + ', 1519422746.0)
0.05,-0.04,nan,0,0.0,0.0,0.0,('', ' + ', nan)
0.07,-0.03,61.3944,-512.0,-314.339328,-7.24896,112.651861667,(u'2018-02-23T21:52:37.000Z', ' + ', 1519422757.0)
0.07,-0.02,62.784,-785.0,-492.8544,-7.248905,112.651708333,(u'2018-02-23T21:52:38.000Z', ' + ', 1519422758.0)
0.06,-0.02,62.856,-786.0,-494.04816,-7.248848333,112.651553333,(u'2018-02-23T21:52:39.000Z', ' + ', 1519422759.0)
0.07,-0.02,62.802,-786.0,-493.62372,-7.248793333,112.651403333,(u'2018-02-23T21:52:40.000Z', ' + ', 1519422760.0)
0.08,-0.02,63.9324,-800.0,-511.4592,-7.248736667,112.65125,(u'2018-02-23T21:52:41.000Z', ' + ', 1519422761.0)
0.06,-0.02,63.8568,-799.0,-510.215832,-7.248676667,112.651088333,(u'2018-02-23T21:52:42.000Z', ' + ', 1519422762.0)
0.06,-0.01,64.152,-1604.0,-1028.99808,-7.248618333,112.650928333,(u'2018-02-23T21:52:43.000Z', ' + ', 1519422763.0)
0.08,-0.01,64.3572,-1609.0,-1035.507348,-7.248563333,112.650775,(u'2018-02-23T21:52:44.000Z', ' + ', 1519422764.0)
0.06,-0.02,nan,0,0.0,0.0,0.0,('', ' + ', nan)
0.07,-0.03,61.614,-514.0,-316.69596,-7.247678333,112.648268333,(u'2018-02-23T21:53:00.000Z', ' + ', u'2018-02-23T21:53:00.000Z')
0.05,-0.01,nan,0,0.0,0.0,0.0,('', ' + ', nan)
0.07,-0.02,63.5004,-794.0,-504.193176,-7.246545,112.645001667,(u'2018-02-23T21:53:21.000Z', ' + ', 1519422801.0)
0.08,-0.03,64.152,-535.0,-343.2132,-7.24649,112.64485,(u'2018-02-23T21:53:22.000Z', ' + ', 1519422802.0)
0.06,-0.02,64.0044,-801.0,-512.675244,-7.24649,112.64485,(u'2018-02-23T21:53:22.000Z', ' + ', u'2018-02-23T21:53:22.000Z')
0.06,-0.02,65.0988,-814.0,-529.904232,-7.24641,112.64453,(u'2018-02-23T21:53:24.000Z', ' + ', 1519422804.0)
0.06,-0.03,65.3904,-545.0,-356.37768,-7.24636,112.644373333,(u'2018-02-23T21:53:25.000Z', ' + ', 1519422805.0)
0.07,-0.02,63.5004,-794.0,-504.193176,-7.24631,112.644221667,(u'2018-02-23T21:53:26.000Z', ' + ', 1519422806.0)
0.05,-0.01,65.2824,-1633.0,-1066.061592,-7.24631,112.644221667,(u'2018-02-23T21:53:26.000Z', ' + ', u'2018-02-23T21:53:26.000Z')
0.06,-0.03,64.152,-535.0,-343.2132,-7.246201667,112.643916667,(u'2018-02-23T21:53:28.000Z', ' + ', 1519422808.0)
0.08,-0.03,65.0016,-542.0,-352.308672,-7.246145,112.643763333,(u'2018-02-23T21:53:29.000Z', ' + ', 1519422809.0)
0.08,-0.03,65.0016,-542.0,-352.308672,-7.246088333,112.64361,(u'2018-02-23T21:53:30.000Z', ' + ', 1519422810.0)
0.08,0.02,65.3976,153.0,100.058328,-7.246033333,112.643455,(u'2018-02-23T21:53:31.000Z', ' + ', 1519422811.0)
0.07,-0.04,65.3976,-409.0,-267.476184,-7.245978333,112.6433,(u'2018-02-23T21:53:32.000Z', ' + ', 1519422812.0)
0.07,-0.02,65.3976,-818.0,-534.952368,-7.245923333,112.643145,(u'2018-02-23T21:53:33.000Z', ' + ', 1519422813.0)
0.07,-0.03,65.0016,-542.0,-352.308672,-7.245866667,112.642991667,(u'2018-02-23T21:53:34.000Z', ' + ', 1519422814.0)
0.08,-0.03,64.3824,-537.0,-345.733488,-7.24581,112.64284,(u'2018-02-23T21:53:35.000Z', ' + ', 1519422815.0)
0.05,-0.04,64.5516,-404.0,-260.788464,-7.245756667,112.642686667,(u'2018-02-23T21:53:36.000Z', ' + ', 1519422816.0)
0.06,-0.02,64.7748,-810.0,-524.67588,-7.245701667,112.642533333,(u'2018-02-23T21:53:37.000Z', ' + ', 1519422817.0)
0.05,-0.03,64.7748,-540.0,-349.78392,-7.245646667,112.64238,(u'2018-02-23T21:53:38.000Z', ' + ', 1519422818.0)
0.08,-0.01,64.7748,-1620.0,-1049.35176,-7.245591667,112.642226667,(u'2018-02-23T21:53:39.000Z', ' + ', 1519422819.0)
0.05,-0.02,65.0016,-813.0,-528.463008,-7.245535,112.642073333,(u'2018-02-23T21:53:40.000Z', ' + ', 1519422820.0)
0.08,-0.01,63.9288,-1599.0,-1022.221512,-7.245481667,112.641921667,(u'2018-02-23T21:53:41.000Z', ' + ', 1519422821.0)
0.05,-0.07,65.6244,-235.0,-154.21734,-7.245425,112.641766667,(u'2018-02-23T21:53:42.000Z', ' + ', 1519422822.0)
0.06,-0.02,64.8576,-811.0,-525.995136,-7.245371667,112.641613333,(u'2018-02-23T21:53:43.000Z', ' + ', u'2018-02-23T21:53:43.000Z')
0.07,-0.02,65.178,-815.0,-531.2007,-7.245318333,112.641458333,(u'2018-02-23T21:53:44.000Z', ' + ', 1519422824.0)
0.08,-0.01,64.5516,-1614.0,-1041.862824,-7.245265,112.641305,(u'2018-02-23T21:53:45.000Z', ' + ', 1519422825.0)
0.09,-0.04,66.024,-413.0,-272.67912,-7.24521,112.641148333,(u'2018-02-23T21:53:46.000Z', ' + ', 1519422826.0)
0.06,-0.01,65.0016,-1626.0,-1056.926016,-7.245153333,112.640995,(u'2018-02-23T21:53:47.000Z', ' + ', 1519422827.0)
0.07,-0.02,65.3976,-818.0,-534.952368,-7.245098333,112.64084,(u'2018-02-23T21:53:48.000Z', ' + ', 1519422828.0)
