0.09,-0.01,32.094,1,0.32094,-7.258536667,112.685388333,(u'2018-02-23T21:45:35.000Z', ' + ', 1519422335.0)
0.07,-0.02,32.8716,1,0.328716,-7.258515,112.685308333,(u'2018-02-23T21:45:36.000Z', ' + ', 1519422336.0)
0.08,-0.0,32.8176,1,0.328176,-7.258491667,112.685228333,(u'2018-02-23T21:45:37.000Z', ' + ', 1519422337.0)
0.08,-0.04,33.7788,1,0.337788,-7.258468333,112.685145,(u'2018-02-23T21:45:38.000Z', ' + ', 1519422338.0)
0.04,-0.01,34.6896,1,0.346896,-7.258445,112.68506,(u'2018-02-23T21:45:39.000Z', ' + ', 1519422339.0)
0.08,-0.01,35.316,1,0.35316,-7.25842,112.684975,(u'2018-02-23T21:45:40.000Z', ' + ', 1519422340.0)
0.08,-0.02,36.54,1,0.3654,-7.258395,112.684885,(u'2018-02-23T21:45:41.000Z', ' + ', 1519422341.0)
0.06,-0.01,36.8532,1,0.368532,-7.258368333,112.684795,(u'2018-02-23T21:45:42.000Z', ' + ', 1519422342.0)
0.08,0.0,36.486,1,0.36486,-7.258345,112.684705,(u'2018-02-23T21:45:43.000Z', ' + ', 1519422343.0)
0.07,-0.01,37.1124,1,0.371124,-7.258321667,112.684613333,(u'2018-02-23T21:45:44.000Z', ' + ', 1519422344.0)
0.06,0.02,37.206,1,0.37206,-7.2583,112.68452,(u'2018-02-23T21:45:45.000Z', ' + ', 1519422345.0)
0.08,0.02,37.206,1,0.37206,-7.258276667,112.684428333,(u'2018-02-23T21:45:46.000Z', ' + ', 1519422346.0)
0.07,-0.01,37.6128,1,0.376128,-7.25825,112.684338333,(u'2018-02-23T21:45:47.000Z', ' + ', 1519422347.0)
0.09,0.01,37.9116,1,0.379116,-7.258225,112.684245,(u'2018-02-23T21:45:48.000Z', ' + ', 1519422348.0)
0.06,0.02,38.7792,1,0.387792,-7.258191667,112.684153333,(u'2018-02-23T21:45:49.000Z', ' + ', 1519422349.0)
0.05,-0.02,nan,0,0.0,0.0,0.0,('', ' + ', nan)
0.04,-0.01,64.5408,-1614.0,-1041.688512,-7.255296667,112.67334,(u'2018-02-23T21:47:02.000Z', ' + ', 1519422422.0)
0.07,-0.02,65.2644,-816.0,-532.557504,-7.255251667,112.673183333,(u'2018-02-23T21:47:03.000Z', ' + ', 1519422423.0)
0.05,-0.01,65.1168,-1628.0,-1060.101504,-7.255203333,112.673023333,(u'2018-02-23T21:47:04.000Z', ' + ', 1519422424.0)
0.06,-0.01,65.5992,-1640.0,-1075.82688,-7.255158333,112.672865,(u'2018-02-23T21:47:05.000Z', ' + ', 1519422425.0)
0.07,-0.05,65.6352,-329.0,-215.939808,-7.255116667,112.672701667,(u'2018-02-23T21:47:06.000Z', ' + ', 1519422426.0)
0.07,-0.03,63.7812,-532.0,-339.315984,-7.255075,112.672545,(u'2018-02-23T21:47:07.000Z', ' + ', 1519422427.0)
0.06,-0.02,64.8396,-811.0,-525.849156,-7.255031667,112.672388333,(u'2018-02-23T21:47:08.000Z', ' + ', 1519422428.0)
0.06,-0.04,64.6524,-405.0,-261.84222,-7.254988333,112.672228333,(u'2018-02-23T21:47:09.000Z', ' + ', 1519422429.0)
0.06,-0.04,64.5408,-404.0,-260.744832,-7.254945,112.672068333,(u'2018-02-23T21:47:10.000Z', ' + ', 1519422430.0)
0.06,-0.02,64.4112,-806.0,-519.154272,-7.254903333,112.67191,(u'2018-02-23T21:47:11.000Z', ' + ', 1519422431.0)
0.06,-0.04,64.4328,-403.0,-259.664184,-7.25486,112.671756667,(u'2018-02-23T21:47:12.000Z', ' + ', 1519422432.0)
0.05,-0.04,60.7464,-380.0,-230.83632,-7.254816667,112.671608333,(u'2018-02-23T21:47:13.000Z', ' + ', 1519422433.0)
0.05,-0.01,63.6732,-1592.0,-1013.677344,-7.254775,112.671456667,(u'2018-02-23T21:47:14.000Z', ' + ', 1519422434.0)
0.08,-0.04,64.4112,-403.0,-259.577136,-7.254733333,112.6713,(u'2018-02-23T21:47:15.000Z', ' + ', 1519422435.0)
0.07,-0.04,63.2268,-396.0,-250.378128,-7.25469,112.671145,(u'2018-02-23T21:47:16.000Z', ' + ', 1519422436.0)
0.06,-0.04,62.9676,-394.0,-248.092344,-7.25465,112.670991667,(u'2018-02-23T21:47:17.000Z', ' + ', 1519422437.0)
0.09,0.01,62.9856,131.0,82.511136,-7.254603333,112.670838333,(u'2018-02-23T21:47:18.000Z', ' + ', 1519422438.0)
0.05,-0.04,62.9136,-394.0,-247.879584,-7.25456,112.670686667,(u'2018-02-23T21:47:19.000Z', ' + ', 1519422439.0)
0.05,-0.04,62.7084,-392.0,-245.816928,-7.25452,112.670535,(u'2018-02-23T21:47:20.000Z', ' + ', 1519422440.0)
0.07,-0.03,62.4672,-521.0,-325.454112,-7.254478333,112.670385,(u'2018-02-23T21:47:21.000Z', ' + ', 1519422441.0)
0.06,-0.02,62.4852,-782.0,-488.634264,-7.254436667,112.670236667,(u'2018-02-23T21:47:22.000Z', ' + ', 1519422442.0)
0.08,-0.01,62.5428,-1564.0,-978.169392,-7.254393333,112.670085,(u'2018-02-23T21:47:23.000Z', ' + ', 1519422443.0)
0.06,-0.02,62.3556,-780.0,-486.37368,-7.254353333,112.669936667,(u'2018-02-23T21:47:24.000Z', ' + ', 1519422444.0)
0.06,-0.02,62.136,-777.0,-482.79672,-7.254313333,112.669785,(u'2018-02-23T21:47:25.000Z', ' + ', 1519422445.0)
0.05,-0.06,60.858,-254.0,-154.57932,-7.254273333,112.669635,(u'2018-02-23T21:47:26.000Z', ' + ', 1519422446.0)
0.06,-0.04,61.4484,-385.0,-236.57634,-7.254233333,112.669486667,(u'2018-02-23T21:47:27.000Z', ' + ', 1519422447.0)
0.05,-0.03,60.4476,-504.0,-304.655904,-7.254193333,112.669338333,(u'2018-02-23T21:47:28.000Z', ' + ', 1519422448.0)
0.06,-0.03,61.1712,-510.0,-311.97312,-7.254151667,112.66919,(u'2018-02-23T21:47:29.000Z', ' + ', 1519422449.0)
0.04,-0.05,60.5988,-303.0,-183.614364,-7.254111667,112.669045,(u'2018-02-23T21:47:30.000Z', ' + ', 1519422450.0)
0.05,-0.01,60.4476,-1512.0,-913.967712,-7.254075,112.668901667,(u'2018-02-23T21:47:31.000Z', ' + ', 1519422451.0)
0.05,0.01,59.1516,221.0,130.725036,-7.25404,112.66876,(u'2018-02-23T21:47:32.000Z', ' + ', 1519422452.0)
0.08,-0.06,59.04,-247.0,-145.8288,-7.254003333,112.668618333,(u'2018-02-23T21:47:33.000Z', ' + ', 1519422453.0)
0.06,-0.02,59.0796,-739.0,-436.598244,-7.253966667,112.668478333,(u'2018-02-23T21:47:34.000Z', ' + ', 1519422454.0)
0.03,-0.05,nan,0,0.0,0.0,0.0,('', ' + ', nan)
0.07,-0.04,45.4104,-284.0,-128.965536,-7.252828333,112.664286667,(u'2018-02-23T21:48:07.000Z', ' + ', 1519422487.0)
0.07,-0.01,44.7084,-1118.0,-499.839912,-7.2528,112.664181667,(u'2018-02-23T21:48:08.000Z', ' + ', 1519422488.0)
0.05,-0.03,44.7444,-373.0,-166.896612,-7.25277,112.664075,(u'2018-02-23T21:48:09.000Z', ' + ', 1519422489.0)
0.06,-0.03,43.9848,-367.0,-161.424216,-7.252736667,112.66397,(u'2018-02-23T21:48:10.000Z', ' + ', 1519422490.0)
0.06,-0.03,43.3368,-362.0,-156.879216,-7.252708333,112.663865,(u'2018-02-23T21:48:11.000Z', ' + ', 1519422491.0)
0.06,-0.03,43.4124,-362.0,-157.152888,-7.25268,112.66376,(u'2018-02-23T21:48:12.000Z', ' + ', 1519422492.0)
0.07,-0.02,43.4124,-543.0,-235.729332,-7.252653333,112.663653333,(u'2018-02-23T21:48:13.000Z', ' + ', 1519422493.0)
0.06,-0.01,43.4844,-1088.0,-473.110272,-7.252625,112.663548333,(u'2018-02-23T21:48:14.000Z', ' + ', 1519422494.0)
0.05,-0.04,42.948,-269.0,-115.53012,-7.252595,112.663445,(u'2018-02-23T21:48:15.000Z', ' + ', 1519422495.0)
0.06,-0.02,42.1524,-527.0,-222.143148,-7.252568333,112.663345,(u'2018-02-23T21:48:16.000Z', ' + ', 1519422496.0)
0.05,-0.03,42.2064,-352.0,-148.566528,-7.25254,112.663241667,(u'2018-02-23T21:48:17.000Z', ' + ', 1519422497.0)
0.04,-0.04,42.282,-265.0,-112.0473,-7.252511667,112.663138333,(u'2018-02-23T21:48:18.000Z', ' + ', 1519422498.0)
0.05,-0.02,42.5772,-533.0,-226.936476,-7.252485,112.663033333,(u'2018-02-23T21:48:19.000Z', ' + ', 1519422499.0)
0.08,-0.03,41.724,-348.0,-145.19952,-7.252456667,112.662936667,(u'2018-02-23T21:48:20.000Z', ' + ', 1519422500.0)
0.07,-0.04,40.7268,-255.0,-103.85334,-7.25243,112.662843333,(u'2018-02-23T21:48:21.000Z', ' + ', 1519422501.0)
0.07,-0.02,40.7268,-510.0,-207.70668,-7.252405,112.662743333,(u'2018-02-23T21:48:22.000Z', ' + ', 1519422502.0)
0.04,-0.03,40.356,-337.0,-135.99972,-7.252381667,112.662646667,(u'2018-02-23T21:48:23.000Z', ' + ', 1519422503.0)
0.08,-0.03,39.5964,1,0.395964,-7.252353333,112.662555,(u'2018-02-23T21:48:24.000Z', ' + ', 1519422504.0)
0.05,-0.02,39.5784,1,0.395784,-7.252328333,112.662458333,(u'2018-02-23T21:48:25.000Z', ' + ', 1519422505.0)
0.06,-0.0,39.4488,1,0.394488,-7.252305,112.662365,(u'2018-02-23T21:48:26.000Z', ' + ', 1519422506.0)
0.07,-0.03,38.8908,1,0.388908,-7.252278333,112.662273333,(u'2018-02-23T21:48:27.000Z', ' + ', 1519422507.0)
0.08,-0.04,38.5416,1,0.385416,-7.25225,112.662183333,(u'2018-02-23T21:48:28.000Z', ' + ', 1519422508.0)
0.08,-0.01,36.8928,1,0.368928,-7.252228333,112.662106667,(u'2018-02-23T21:48:29.000Z', ' + ', 1519422509.0)
0.07,-0.01,36.9648,1,0.369648,-7.252205,112.662013333,(u'2018-02-23T21:48:30.000Z', ' + ', 1519422510.0)
0.08,-0.01,37.0224,1,0.370224,-7.252183333,112.661921667,(u'2018-02-23T21:48:31.000Z', ' + ', 1519422511.0)
0.07,-0.04,36.9108,1,0.369108,-7.252161667,112.661833333,(u'2018-02-23T21:48:32.000Z', ' + ', 1519422512.0)
0.06,-0.02,36.0216,1,0.360216,-7.252143333,112.661748333,(u'2018-02-23T21:48:33.000Z', ' + ', 1519422513.0)
0.08,-0.01,35.3556,1,0.353556,-7.25212,112.661666667,(u'2018-02-23T21:48:34.000Z', ' + ', 1519422514.0)
0.05,-0.03,35.3376,1,0.353376,-7.25209,112.661581667,(u'2018-02-23T21:48:35.000Z', ' + ', 1519422515.0)
0.08,-0.04,35.28,1,0.3528,-7.252063333,112.661496667,(u'2018-02-23T21:48:36.000Z', ' + ', 1519422516.0)
0.06,-0.04,34.9488,1,0.349488,-7.252038333,112.661416667,(u'2018-02-23T21:48:37.000Z', ' + ', 1519422517.0)
