nan,0.0,0.0,0.036,0.032
0.031,-7.282008333,112.789576667,0.036,0.036
0.036,-7.28201,112.789576667,0.036,0.032
0.036,-7.28201,112.789576667,0.036,0.032
0.036,-7.28201,112.789576667,0.036,0.032
0.123,-7.28201,112.789575,0.04,0.032
0.072,-7.28201,112.789575,0.036,0.04
0.108,-7.282011667,112.789576667,0.032,0.032
0.067,-7.282011667,112.789576667,0.04,0.032
0.067,-7.282011667,112.789576667,0.044,0.036
0.093,-7.282013333,112.789578333,0.032,0.032
0.087,-7.282013333,112.789578333,0.04,0.036
0.067,-7.282013333,112.78958,0.036,0.032
0.015,-7.282013333,112.78958,0.036,0.036
0.015,-7.282013333,112.78958,0.04,0.028
0.046,-7.282013333,112.78958,0.04,0.036
0.051,-7.282013333,112.78958,0.032,0.04
0.036,-7.282013333,112.789578333,0.044,0.032
0.046,-7.282013333,112.789578333,0.04,0.032
0.046,-7.282013333,112.789578333,0.04,0.032
0.031,-7.282013333,112.789578333,0.032,0.036
0.026,-7.282011667,112.789578333,0.032,0.028
0.031,-7.282011667,112.789578333,0.04,0.032
0.051,-7.282011667,112.789578333,0.036,0.032
0.051,-7.282011667,112.789578333,0.036,0.032
0.026,-7.282011667,112.789578333,0.036,0.028
0.036,-7.282011667,112.789578333,0.04,0.036
0.087,-7.282011667,112.789578333,0.04,0.032
0.113,-7.282011667,112.789576667,0.04,0.028
0.113,-7.282011667,112.789576667,0.032,0.028
0.118,-7.282011667,112.789575,0.04,0.032
0.195,-7.282011667,112.789575,0.036,0.036
0.159,-7.282013333,112.789573333,0.04,0.028
0.098,-7.282015,112.789571667,0.036,0.032
0.098,-7.282015,112.789571667,0.04,0.028
0.041,-7.282013333,112.78957,0.044,0.028
0.057,-7.282013333,112.78957,0.036,0.032
0.062,-7.282013333,112.78957,0.04,0.036
0.062,-7.282013333,112.789568333,0.036,0.032
0.036,-7.282013333,112.789568333,0.032,0.032
0.021,-7.282013333,112.789568333,0.036,0.04
0.01,-7.282015,112.789568333,0.04,0.032
0.036,-7.282015,112.789568333,0.036,0.028
0.026,-7.282015,112.789568333,0.032,0.032
0.046,-7.282015,112.789566667,0.032,0.032
0.062,-7.282015,112.789566667,0.036,0.028
0.021,-7.282015,112.789566667,0.04,0.036
0.057,-7.282015,112.789566667,0.04,0.036
0.077,-7.282015,112.789566667,0.036,0.036
0.062,-7.282013333,112.789566667,0.036,0.032
0.005,-7.282013333,112.789566667,0.036,0.028
0.046,-7.282013333,112.789566667,0.04,0.032
0.062,-7.282013333,112.789566667,0.04,0.032
0.057,-7.282013333,112.789566667,0.04,0.036
0.026,-7.282013333,112.789566667,0.036,0.032
0.031,-7.282013333,112.789566667,0.032,0.028
0.057,-7.282013333,112.789566667,0.04,0.032
0.051,-7.282013333,112.789566667,0.036,0.032
0.041,-7.282015,112.789566667,0.032,0.032
0.057,-7.282015,112.789566667,0.044,0.036
0.036,-7.282015,112.789565,0.036,0.032
0.01,-7.282015,112.789565,0.036,0.04
0.021,-7.282015,112.789565,0.036,0.036
0.026,-7.282015,112.789565,0.032,0.036
0.077,-7.282015,112.789565,0.036,0.024
0.062,-7.282015,112.789566667,0.036,0.028
0.103,-7.282015,112.789566667,0.036,0.032
0.118,-7.282016667,112.789566667,0.036,0.036
0.165,-7.282018333,112.789566667,0.036,0.032
0.144,-7.28202,112.789566667,0.032,0.032
0.072,-7.28202,112.789566667,0.036,0.032
0.077,-7.282021667,112.789568333,0.04,0.028
0.01,-7.282021667,112.789568333,0.036,0.032
0.072,-7.282021667,112.789568333,0.04,0.032
0.046,-7.282021667,112.789566667,0.032,0.036
0.072,-7.282021667,112.789566667,0.036,0.032
0.113,-7.28202,112.789566667,0.036,0.036
0.082,-7.28202,112.789566667,0.04,0.028
0.046,-7.28202,112.789568333,0.032,0.036
0.005,-7.282018333,112.789568333,0.04,0.036
0.015,-7.282018333,112.789568333,0.04,0.032
0.067,-7.282018333,112.789568333,0.036,0.036
0.067,-7.28202,112.789568333,0.04,0.032
0.036,-7.28202,112.789568333,0.036,0.036
0.087,-7.28202,112.789568333,0.04,0.032
0.082,-7.282021667,112.789568333,0.04,0.028
0.118,-7.282021667,112.789568333,0.04,0.028
0.072,-7.282021667,112.789566667,0.04,0.036
0.113,-7.282021667,112.789566667,0.04,0.032
0.082,-7.282021667,112.789565,0.036,0.032
0.082,-7.282021667,112.789565,0.036,0.036
0.041,-7.282021667,112.789563333,0.036,0.036
